Puesto,Empresa,Periodo,Ubicación,Descripción,URL
Modelador BIM Senior,CEMEX - Vicepresidencia de Soluciones Urbanas - Construhub,Dic 2021 – Sep 2025,"Ciudad de México, México","Eficiencia en Oficina: Optimización con Plannerly e ISO 19650, reduciendo 20% en retrabajo y costos.
Control en Obra: Prevención de sobrecostos (0.003%) con Dalux (AR), eliminando errores críticos y demoliciones.
Inteligencia de Datos: Decisiones 3X rápidas mediante centralización en Power BI y monitoreo de avance.
Automatización con IA: Documentación 12X rápida con Python/Dynamo e IA, reduciendo el error humano.",https://www.cemexmexico.com/
Asesor de Vivienda,CEMEX - Vicepresidencia de Soluciones Urbanas - Patrimonio Hoy,Oct 2017 – Nov 2021,"Monterrey, N.L., México","Desarrollo de proyectos ejecutivos de vivienda, levantamientos técnicos y modelado en Revit para optimización de materiales.",https://www.cemexmexico.com/
Modelador BIM (Freelance),Proyectos para EE. UU. (Remoto),Ago 2016 – Mar 2017,"Monterrey, N.L., México","Modelado estructural en Tekla bajo estándares internacionales y coordinación BIM con Trimble Connect.",
Agente de Servicio,CEMEX - Vicepresidencia de Cadena de Suministro - Centro de Servicio,Sep 2014 – Nov 2021,"Monterrey, N.L., México","Coordinación logística de suministro de materiales apoyado en modelos BIM 360 para entregas precisas.",https://www.cemexmexico.com/
