Categoría,Ítem,Detalle
Habilidades Blandas,Adaptabilidad normativa,"Dominio de estándares internacionales (ISO 19650, IFC, COBie)."
Habilidades Blandas,Comunicación técnica,Gestión de requisitos complejos y coordinación entre especialidades.
Habilidades Blandas,Gestión del cambio e IA,Integración estratégica de IA para optimizar flujos de trabajo.
Habilidades Blandas,Liderazgo multidisciplinario,"Liderazgo de equipos en oficina y sitio (Arq, Est, MEP)."
Habilidades Blandas,Resolución de problemas,Identificación y solución proactiva de conflictos técnicos en obra.
