Nivel,Institucion,Titulo,Periodo,Estado,Insignia
Postgrado,Butic The New School,MASTER AEC 4.0 - IA ,Presente,En curso,https://www.credential.net/c455ea9f-59d7-44d6-9d15-c81eb34d5cfb#acc.S526pxXn
Certificación,Udemy,Dynamo,Presente,En curso,
Certificación,buildingSMART ,buildingSMART Professional Certification-Entry Badge (Spanish),febrero 2026,Finalizado,https://qualification.buildingsmart.org/badges/badge.php?hash=7938aa1456a67a6861892d214196c7b7e6861bd7
Postgrado,Butic The New School,"Máster Superior de metodología y tecnología BIM oficial de Autodesk
",2019-2020,Finalizado,https://www.credential.net/6a2328e0-b4d5-4379-870a-885f476879ab#acc.8RMlPckA
Grado,Facultad de Arquitectura - Universidad Autónoma de Nuevo León,Arquitecto (Sin título),2008-2012,Finalizado,
