Título,Icono,Descripción
BCF,message-square,Formato de Colaboración BIM para la comunicación y gestión de incidencias.
CTE ,book-open,Código Técnico de la Edificación
IDS,check-square,Especificación de Entrega de Información
IFC / COBie,database,Interoperabilidad y OpenBIM
ISO 19650,globe,Gestión de la Info. y CDE
ISO 7817,clipboard-check,Nivel de Información Necesario
LOD,layers,Nivel de Desarrollo
Omniclass,tag,Sistema de Clasificación de la Construcción
PIR / EIR / BEP,file-check,Requisitos y Plan de Ejecución
