Title,Value,Description,Icon,Link
EXPERIENCIA,+10 AÑOS,MÉXICO; USA Y JAMAICA // +20 CIUDADES // +40 PROYECTOS,history,
SOFTWARE PRINCIPAL,REVIT,MODELADO BIM,code-2,https://www.credential.net/6a2328e0-b4d5-4379-870a-885f476879ab#acc.8RMlPckA
MODELADO,MULTIDISCIPLINA,COORDINACIÓN BIM,layers,
ESTÁNDAR MAESTRO,BUILDINGSMART,ISO 19650,file-check,https://qualification.buildingsmart.org/badges/badge.php?hash=7938aa1456a67a6861892d214196c7b7e6861bd7
GEMINI,IA,Optimización de flujo global,brain-circuit,
VIBE CODING,MÁXIMO VALOR,IA + AGENTIC CODING (ANTIGRAVITY),zap,
IDIOMA,INGLÉS A2,BÁSICO,languages,https://cert.efset.org/es/pfLEMW
AHORRO EN TIEMPO,12X,VELOCIDAD PROMEDIO,trending-up,
MÁSTER EN CURSO,MBIA: BIM + IA,BUTIC ESPAÑA,graduation-cap,https://www.credential.net/c455ea9f-59d7-44d6-9d15-c81eb34d5cfb#acc.rfPIGXZj
